ACID,ENTITY_CRE_FLG,ACCT_CLS_FLG,ACCT_CLS_DATE,FREZ_CODE,TS_CNT
823759,Y,N,10/4/2025,C,37
823760,Y,N,10/4/2025,C,38
823761,Y,N,10/4/2025,C,39
823762,Y,N,10/4/2025,C,40
823763,Y,N,10/4/2025,C,41
823764,Y,N,10/4/2025,C,42
823765,Y,N,10/4/2025,C,43
823766,Y,N,10/4/2025,C,44
823767,Y,N,10/4/2025,C,45
823768,Y,N,10/4/2025,C,46
823769,Y,N,10/4/2025,C,47
823770,Y,N,10/4/2025,C,48
823771,Y,N,10/4/2025,C,49
823772,Y,N,10/4/2025,C,0
823773,Y,N,13/7/2028,C,1
823774,Y,N,13/7/2028,C,2
823775,Y,N,13/7/2028,C,3
823776,Y,N,13/7/2028,C,4
823777,Y,N,13/7/2028,C,5
823778,Y,N,13/7/2028,C,6
823779,Y,N,13/7/2028,C,7
823780,Y,N,13/7/2028,C,8
823781,Y,N,13/7/2028,C,9
823782,Y,N,2019-11-05,C,10
823783,Y,N,2019-11-05,C,11
823784,Y,N,2019-11-05,C,12
823785,Y,N,2019-11-05,C,13
823786,Y,N,2019-11-05,C,14
823787,Y,N,2019-11-05,C,15
823788,Y,N,2019-11-05,C,16
823789,Y,N,2019-11-05,C,17
823790,Y,N,2019-11-05,C,18
823791,Y,N,2019-11-05,C,19
823792,Y,N,2019-11-05,C,20
823793,Y,N,2019-11-05,C,21
823794,Y,N,2019-11-05,C,22
823795,Y,N,2019-11-05,C,23
823796,Y,N,2019-11-05,C,24
823797,Y,N,2019-11-05,C,25
823798,Y,N,2019-11-05,C,26
823799,Y,N,2019-11-05,C,27
823800,Y,N,2019-11-05,C,28
823801,Y,N,2019-11-05,C,29
823802,Y,N,2019-11-05,C,30
823803,Y,N,2019-11-05,C,31
823804,Y,N,2019-11-05,C,32
823805,Y,N,2019-11-05,C,33
823806,Y,N,11-05-2026,C,34
823807,Y,N,11-05-2026,C,35
823808,Y,N,11-05-2026,C,36
823809,Y,N,11-05-2026,C,37
823810,Y,N,11-05-2026,C,38
823811,Y,N,11-05-2026,C,39
823812,Y,N,11-05-2026,C,40
823813,Y,N,11-05-2026,C,41
823814,Y,N,11-05-2026,C,42
823815,Y,N,11-05-2026,C,43
823816,Y,N,11-05-2026,C,44
823817,Y,N,11-05-2026,C,45
823818,Y,N,11-05-2026,C,46
823819,Y,N,11-05-2026,C,47
823820,Y,N,11-05-2026,C,48
823821,Y,N,11-05-2026,C,49
823822,Y,N,11-05-2026,C,0
823823,Y,N,11-05-2026,C,1
823824,Y,N,11-05-2026,C,2
823825,Y,N,11-05-2026,C,3
823826,Y,N,11-05-2026,C,4
823827,Y,N,11-05-2026,C,5
823828,Y,N,11-05-2026,C,6
823829,Y,N,11-05-2026,C,7
823830,Y,N,11-05-2026,C,8
823831,Y,N,11-05-2026,C,9
823832,Y,N,2022-08-25,C,10
823833,Y,N,2022-08-25,C,11
823834,Y,N,2022-08-25,C,12
823835,Y,N,2022-08-25,C,13
823836,Y,N,2022-08-25,C,14
823837,Y,N,2022-08-25,C,15
